Currency,Euro,Japanese Yen,U.K. Pound Sterling,U.S. Dollar,Australian Dollar,Indian Rupee,,,,,,,,,
1-Jul-16,1.25,143.65,1.05,1.40,1.87,94.15,,,Euro,Japanese Yen,U.K. Pound Sterling,U.S. Dollar,Australian Dollar,Indian Rupee,
5-Jul-16,1.25,142.72,1.06,1.40,1.86,94.15,,Euro,1,,,,,,
6-Jul-16,1.26,140.54,1.07,1.39,1.87,,,Japanese Yen,-0.645719358,1,,,,,
7-Jul-16,1.26,140.64,1.07,1.39,1.85,94.03,,U.K. Pound Sterling,0.531149835,-0.970308318,1,,,,
8-Jul-16,1.26,140.51,1.07,1.39,1.86,93.94,,U.S. Dollar,-0.210586816,0.210294814,-0.042302668,1,,,
11-Jul-16,1.26,139.96,1.07,1.39,1.84,93.30,,Australian Dollar,0.331587765,-0.582032254,0.579212952,0.607009964,1,,
12-Jul-16,1.25,143.37,1.06,1.39,1.83,93.46,,Indian Rupee,0.24385072,-0.270123492,0.314680615,0.872861738,0.921475452,1,
13-Jul-16,1.26,145.18,1.05,1.39,1.83,93.54,,,,,,,,,
14-Jul-16,1.25,144.90,1.05,1.39,1.83,93.09,,,,,,,,,
15-Jul-16,1.25,147.27,1.04,1.39,1.83,,,,,,,,,,
18-Jul-16,1.26,,1.05,1.39,1.83,93.19,,,,,,,,,
